sales_data
activity_type;timestamp;user_id;description;salesperson;date_joined
Registration;2020-08-06 19:51:33;330788;Exist would artist.;Andy;2020-05-17 00:00:00
Registration;2020-12-10 13:26:55;542608;Game keep improve team enough.;Andy;2020-05-17 00:00:00
Registration;2021-12-06 08:12:44;148014;Nation way main teacher stop.;Andy;2020-05-17 00:00:00
Registration;2022-12-08 22:07:17;698870;Owner threat middle federal key list according.;Andy;2020-05-17 00:00:00
Registration;2021-01-06 18:34:35;779318;Hold challenge risk land order top agency though.;Andy;2020-05-17 00:00:00
Registration;2021-12-09 21:29:58;294322;Choice such test eye.;Andy;2020-05-17 00:00:00
Registration;2022-06-03 03:02:12;892476;Several accept mission situation public become boy floor.;Andy;2020-05-17 00:00:00
Registration;2023-05-04 16:07:39;147198;Whole see list along.;Andy;2020-05-17 00:00:00
Registration;2021-06-03 17:19:01;162134;Some war course each.;Andy;2020-05-17 00:00:00
Registration;2020-11-24 21:11:29;357437;Young sister argue listen hard a including.;Andy;2020-05-17 00:00:00
Registration;2022-07-29 09:54:50;785466;Area both professional message station.;Andy;2020-05-17 00:00:00
Registration;2021-08-01 09:43:53;733016;Learn data either manage.;Andy;2020-05-17 00:00:00
Registration;2021-09-13 16:47:56;238329;Next fire write.;Andy;2020-05-17 00:00:00
Registration;2022-07-18 15:52:16;807796;List which charge vote scene.;Andy;2020-05-17 00:00:00
Registration;2022-11-05 01:13:30;322962;Just and day movement.;Andy;2020-05-17 00:00:00
Registration;2022-08-17 12:39:14;334747;Network citizen information long cost.;Andy;2020-05-17 00:00:00
Registration;2022-03-08 23:34:30;938638;Among ago glass main.;Andy;2020-05-17 00:00:00
Registration;2022-05-01 21:40:06;195679;Age community position wish agree sister beyond.;Andy;2020-05-17 00:00:00
Registration;2021-03-15 19:37:34;325124;Country professor daughter push program sure peace.;Andy;2020-05-17 00:00:00
Registration;2023-02-17 18:58:03;628378;Last practice seat citizen employee establish memory.;Andy;2020-05-17 00:00:00
Registration;2021-10-26 08:36:33;100389;Class skill style one human.;Andy;2020-05-17 00:00:00
Registration;2023-04-07 18:32:25;417424;Big oil analysis agent can design American like.;Andy;2020-05-17 00:00:00
Registration;2022-07-07 14:58:34;174019;Success member life group commercial.;Andy;2020-05-17 00:00:00
Registration;2021-09-05 20:40:18;634209;Plant among factor.;Andy;2020-05-17 00:00:00
Registration;2022-05-27 13:20:49;622816;Religious which cost bad unit question.;Andy;2020-05-17 00:00:00
Registration;2022-06-19 11:57:21;301661;And cut if.;Andy;2020-05-17 00:00:00
Registration;2022-03-18 03:25:40;273113;Speak next next enough.;Andy;2020-05-17 00:00:00
Registration;2020-08-25 14:14:30;208221;Marriage main red girl chair conference.;Andy;2020-05-17 00:00:00
Registration;2022-07-28 03:30:27;647566;Group one audience teach mission.;Andy;2020-05-17 00:00:00
Registration;2022-11-05 21:21:07;692901;Population hope kitchen create must see.;Andy;2020-05-17 00:00:00
Registration;2023-02-04 00:23:50;56444;No indeed despite miss.;Andy;2020-05-17 00:00:00
Registration;2023-02-14 06:58:17;742322;Could very response action current movement.;Andy;2020-05-17 00:00:00
Registration;2022-03-23 06:05:00;178125;Mind movement apply worry collection hospital.;Andy;2020-05-17 00:00:00
Registration;2021-04-15 21:44:00;525522;Fine likely head church.;Andy;2020-05-17 00:00:00
Registration;2020-06-09 12:20:29;335301;Political citizen easy upon cover.;Andy;2020-05-17 00:00:00
Registration;2022-04-16 02:08:11;526119;Word appear official about case discover challenge.;Andy;2020-05-17 00:00:00
Registration;2021-12-03 02:45:08;121060;Market my family employee way.;Andy;2020-05-17 00:00:00
Registration;2022-04-25 14:45:46;799827;Difference sister charge produce on free.;Andy;2020-05-17 00:00:00
Registration;2021-12-24 02:33:08;9907;Gas serious probably.;Andy;2020-05-17 00:00:00
Registration;2023-01-16 06:31:37;43790;Society different hair half gas book near.;Andy;2020-05-17 00:00:00
Registration;2020-07-09 08:21:24;86187;Rich increase public main peace guy.;Andy;2020-05-17 00:00:00
Registration;2020-09-18 15:00:30;102488;Paper among physical general.;Andy;2020-05-17 00:00:00
Registration;2021-03-22 19:42:09;790067;Some magazine near soldier.;Andy;2020-05-17 00:00:00
Registration;2020-11-27 07:01:17;521017;Kind middle impact black guy trip program.;Andy;2020-05-17 00:00:00
Registration;2021-07-12 08:48:35;355779;Serve ground account part.;Andy;2020-05-17 00:00:00
Registration;2022-09-18 21:59:46;510857;Media during middle mother property couple occur.;Andy;2020-05-17 00:00:00
Registration;2021-06-25 20:34:57;923194;Tree technology cell billion nothing the.;Andy;2020-05-17 00:00:00
Registration;2021-07-18 07:08:30;800676;Enter subject project member performance story.;Andy;2020-05-17 00:00:00
Registration;2022-09-16 04:30:30;733563;Congress rate note production wish pass into.;Andy;2020-05-17 00:00:00
Registration;2020-06-02 07:38:25;452014;Development especially player education very law physical.;Andy;2020-05-17 00:00:00
Registration;2022-12-14 20:37:14;512360;Might be room create million city.;Andy;2020-05-17 00:00:00
Registration;2020-06-24 22:54:35;11260;Dinner knowledge option character religious laugh maintain.;Andy;2020-05-17 00:00:00
Registration;2021-06-18 22:27:07;13393;These help fear build bill chance front.;Andy;2020-05-17 00:00:00
Registration;2020-12-03 16:54:52;66087;Course mean ask dinner future.;Andy;2020-05-17 00:00:00
Registration;2022-10-02 00:50:10;112617;Yourself act responsibility candidate early treat way.;Andy;2020-05-17 00:00:00
Registration;2022-07-11 00:56:42;587169;Will reduce public.;Andy;2020-05-17 00:00:00
Registration;2022-10-12 22:29:31;864575;Course pressure from power.;Andy;2020-05-17 00:00:00
Registration;2020-09-11 09:43:09;423685;Activity spring themselves once.;Andy;2020-05-17 00:00:00
Registration;2020-07-31 00:44:56;959447;Happen identify trade song nor mean per.;Andy;2020-05-17 00:00:00
Registration;2020-11-20 05:19:59;913797;Treat sometimes much bank less soldier.;Andy;2020-05-17 00:00:00
Registration;2020-09-19 08:29:46;598460;Season measure table soldier agent challenge surface.;Andy;2020-05-17 00:00:00
Registration;2021-06-01 15:43:58;818666;Begin now customer prevent control.;Andy;2020-05-17 00:00:00
Registration;2022-05-15 21:32:14;68892;When might national affect.;Andy;2020-05-17 00:00:00
Registration;2022-05-25 22:29:34;999382;Different daughter between.;Andy;2020-05-17 00:00:00
Registration;2021-11-19 11:20:59;848553;Reason me project weight.;Andy;2020-05-17 00:00:00
Registration;2022-07-18 23:26:36;965503;Might should yourself place garden sense president.;Andy;2020-05-17 00:00:00
Registration;2022-11-15 09:46:28;596598;Boy say ability choose here view language.;Andy;2020-05-17 00:00:00
Registration;2022-06-11 09:38:51;342198;Might reveal and similar.;Andy;2020-05-17 00:00:00
Registration;2022-07-16 19:36:20;492803;Rise according necessary everything type ever visit.;Andy;2020-05-17 00:00:00
Registration;2023-02-14 05:14:09;10733;Coach begin everybody.;Andy;2020-05-17 00:00:00
Registration;2022-10-17 17:57:49;916528;Laugh part phone development.;Andy;2020-05-17 00:00:00
Registration;2022-10-30 20:04:06;422393;Order its attorney billion sure glass offer between.;Andy;2020-05-17 00:00:00
Registration;2020-11-20 13:42:24;603196;Into key ground loss discuss.;Andy;2020-05-17 00:00:00
Registration;2022-06-06 01:04:50;615535;Meet himself commercial arm off he.;Andy;2020-05-17 00:00:00
Registration;2022-10-19 07:27:42;53144;Environment involve per.;Andy;2020-05-17 00:00:00
Registration;2020-07-13 23:46:12;420724;Behavior area soldier safe staff help hold forget.;Andy;2020-05-17 00:00:00
Registration;2022-12-17 03:33:34;936624;Card case never investment daughter score goal operation.;Andy;2020-05-17 00:00:00
Registration;2022-03-14 15:25:42;636414;Few reveal conference try director.;Andy;2020-05-17 00:00:00
Registration;2022-06-13 07:25:38;43842;Exactly structure necessary catch.;Andy;2020-05-17 00:00:00
Registration;2021-11-02 22:06:50;683138;Report cup senior source floor.;Andy;2020-05-17 00:00:00
Registration;2022-01-07 01:42:59;136608;Power red also ground cost.;Andy;2020-05-17 00:00:00
Registration;2022-02-05 07:21:19;130730;Call teacher capital human.;Andy;2020-05-17 00:00:00
Registration;2020-09-28 04:32:51;110541;Sit society family never young.;Andy;2020-05-17 00:00:00
Registration;2020-06-05 11:02:16;657947;Item leave way girl sign cover.;Andy;2020-05-17 00:00:00
Registration;2020-06-20 13:28:42;231083;Still knowledge official born base training small win.;Andy;2020-05-17 00:00:00
Registration;2022-12-30 23:41:55;61242;That hit produce follow.;Andy;2020-05-17 00:00:00
Registration;2022-11-09 14:13:30;205598;Five over specific drive.;Andy;2020-05-17 00:00:00
Registration;2021-01-15 21:22:47;538334;Power collection institution wonder small.;Andy;2020-05-17 00:00:00
Registration;2020-07-31 23:12:34;292702;Thus happy now grow.;Andy;2020-05-17 00:00:00
Registration;2020-06-02 06:25:57;358003;Because sign happen industry public line wait us.;Andy;2020-05-17 00:00:00
Registration;2022-09-08 15:23:05;488359;Ten several bar fight different put leader.;Andy;2020-05-17 00:00:00
Registration;2022-10-25 05:41:41;80520;Rate marriage probably mother.;Andy;2020-05-17 00:00:00
Registration;2021-05-24 21:18:18;312892;Together participant impact avoid work church ball.;Andy;2020-05-17 00:00:00
Registration;2022-08-17 03:04:32;693205;List meet ok piece cover ready popular.;Andy;2020-05-17 00:00:00
Registration;2022-06-02 17:31:18;786549;Law PM left sit cell role.;Andy;2020-05-17 00:00:00
Registration;2020-12-13 20:57:09;394838;Nice market note.;Andy;2020-05-17 00:00:00
Registration;2022-07-19 12:25:25;400044;True of shake institution brother nor them.;Andy;2020-05-17 00:00:00
Registration;2021-07-20 17:45:13;548622;Single door for picture.;Andy;2020-05-17 00:00:00
Registration;2022-03-15 21:39:49;280912;According form federal personal down gun.;Andy;2020-05-17 00:00:00
Registration;2022-09-10 04:10:49;225194;Beyond instead bring ground yeah collection nice.;Andy;2020-05-17 00:00:00
Registration;2023-03-20 03:04:57;788377;Live person reveal hold image include.;Andy;2020-05-17 00:00:00
Registration;2021-04-21 10:34:30;993232;Buy assume yard cultural.;Andy;2020-05-17 00:00:00
Registration;2020-11-30 08:59:12;714068;Institution magazine a law arrive across.;Andy;2020-05-17 00:00:00
Registration;2021-12-10 13:03:52;45956;Another share suffer start into those.;Andy;2020-05-17 00:00:00
Registration;2021-07-20 11:35:03;756394;Member three become.;Andy;2020-05-17 00:00:00
Registration;2022-02-01 05:32:21;104417;In list since walk huge financial management.;Andy;2020-05-17 00:00:00
Registration;2022-11-27 13:43:07;207011;Week owner while information degree soon say.;Andy;2020-05-17 00:00:00
Registration;2020-11-19 16:22:09;347983;During base energy heart little.;Andy;2020-05-17 00:00:00
Registration;2021-11-01 03:30:18;524170;Become prove among face.;Andy;2020-05-17 00:00:00
Registration;2020-07-13 09:24:14;813045;Realize commercial before chair this head.;Andy;2020-05-17 00:00:00
Registration;2020-07-26 14:36:02;265727;Plant figure up national morning.;Andy;2020-05-17 00:00:00
Registration;2021-02-25 14:39:43;327068;Fly find door home buy lawyer politics.;Andy;2020-05-17 00:00:00
Registration;2021-02-07 06:09:35;684349;Prove some system because.;Andy;2020-05-17 00:00:00
Registration;2021-12-26 03:37:44;792267;Nor body property rule accept clearly receive center.;Andy;2020-05-17 00:00:00
Registration;2023-01-23 19:38:35;494077;Talk want federal suffer item score control box.;Andy;2020-05-17 00:00:00
Registration;2021-08-04 16:15:26;832342;Key mother loss design would state.;Andy;2020-05-17 00:00:00
Registration;2022-05-29 06:46:43;478357;Yes north participant minute.;Andy;2020-05-17 00:00:00
Registration;2020-06-09 05:40:47;267284;Wonder both attorney visit here plant I.;Andy;2020-05-17 00:00:00
Registration;2022-11-23 10:38:28;908458;Big still edge without bad maybe cultural.;Andy;2020-05-17 00:00:00
Registration;2021-11-12 15:23:06;312862;Carry action fear religious campaign no film.;Andy;2020-05-17 00:00:00
Registration;2023-06-04 04:34:18;632902;Board new happy your market oil store.;Andy;2020-05-17 00:00:00
Registration;2023-02-25 09:10:20;447908;Hundred stuff recognize tell senior task question.;Andy;2020-05-17 00:00:00
Registration;2023-03-14 03:03:51;580933;Question seven from agree hospital.;Andy;2020-05-17 00:00:00
Registration;2022-08-15 17:41:00;357661;Together enough form fear.;Andy;2020-05-17 00:00:00
Registration;2022-02-24 18:17:34;322926;Stage participant them action sometimes.;Andy;2020-05-17 00:00:00
Registration;2020-07-12 16:12:25;516495;Effort pattern marriage future.;Andy;2020-05-17 00:00:00
Registration;2021-12-06 06:59:41;627927;His natural line upon.;Andy;2020-05-17 00:00:00
Registration;2022-09-12 18:42:49;137325;Not form either step cause start we.;Andy;2020-05-17 00:00:00
Registration;2020-07-25 01:54:22;233871;Laugh executive else computer run war.;Andy;2020-05-17 00:00:00
Registration;2022-01-26 13:51:27;882109;Show stop street.;Andy;2020-05-17 00:00:00
Registration;2022-08-17 00:03:22;550316;Step above bill for.;Andy;2020-05-17 00:00:00
Registration;2022-12-31 08:47:25;569882;Experience statement seat his television thing follow.;Andy;2020-05-17 00:00:00
Registration;2021-10-25 19:20:11;313503;Analysis plan bar together wonder candidate west.;Andy;2020-05-17 00:00:00
Registration;2020-12-14 20:32:17;381039;Bill garden performance offer piece form capital college.;Andy;2020-05-17 00:00:00
Registration;2021-12-03 22:02:41;985150;Reason source language.;Andy;2020-05-17 00:00:00
Registration;2022-11-14 09:34:35;122714;Benefit trouble owner window.;Andy;2020-05-17 00:00:00
Registration;2023-05-07 21:01:53;883037;Early name stuff measure dinner.;Andy;2020-05-17 00:00:00
Registration;2021-08-27 23:08:13;872838;Hot course sit.;Andy;2020-05-17 00:00:00
Registration;2022-08-17 07:45:27;591601;Not raise let marriage wrong general attention take.;Andy;2020-05-17 00:00:00
Registration;2022-11-15 05:21:44;267455;Policy exist time yet action her three hold.;Andy;2020-05-17 00:00:00
Registration;2023-04-12 14:53:33;938826;Card provide attention yeah others town.;Andy;2020-05-17 00:00:00
Registration;2021-12-27 21:01:02;712208;Inside south same mission serve pass truth.;Andy;2020-05-17 00:00:00
Registration;2022-09-01 06:33:45;812557;Cold like prepare then.;Andy;2020-05-17 00:00:00
Registration;2021-10-02 04:41:00;19557;Outside stuff not represent suffer.;Andy;2020-05-17 00:00:00
